event_id,origin_time,latitude,longitude,depth_km,magnitude,mag_type,p_pick_time,s_pick_time,catalog_source
quakeml:eu.emsc/event/20230218_0000191,2023-02-18T14:12:01.600000Z,36.68,36.56,10.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000178,2023-02-18T13:55:25.700000Z,37.95,36.38,8.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000175,2023-02-18T13:15:36.200000Z,38.1,37.03,11.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000172,2023-02-18T13:09:26.500000Z,37.61,37.35,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000173,2023-02-18T13:08:00.300000Z,38.33,38.22,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000171,2023-02-18T13:00:40.500000Z,38.02,38.27,4.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000158,2023-02-18T11:48:53.700000Z,38.02,37.45,5.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000154,2023-02-18T11:28:59.600000Z,37.73,37.74,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000151,2023-02-18T11:12:18.800000Z,37.29,37.09,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000141,2023-02-18T10:41:17.500000Z,38.12,38.49,5.0,3.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000127,2023-02-18T10:21:34.700000Z,38.01,36.59,5.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000128,2023-02-18T10:14:19.500000Z,38.03,37.48,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000124,2023-02-18T10:08:22.200000Z,37.87,36.64,6.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000120,2023-02-18T09:33:17.100000Z,38.25,36.32,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000114,2023-02-18T09:01:11.600000Z,38.1,38.24,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000109,2023-02-18T08:45:13.300000Z,38.1,36.57,3.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000105,2023-02-18T08:30:52.000000Z,38.02,36.43,1.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000103,2023-02-18T08:24:05.300000Z,38.15,36.7,4.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000100,2023-02-18T08:06:33.400000Z,38.08,37.76,3.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000098,2023-02-18T08:02:35.400000Z,37.93,37.66,10.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000094,2023-02-18T07:51:38.700000Z,37.91,37.49,5.0,2.8,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000089,2023-02-18T07:24:59.400000Z,37.98,36.55,8.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000088,2023-02-18T07:23:34.600000Z,38.11,36.88,15.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000086,2023-02-18T07:21:34.200000Z,38.01,37.42,4.0,3.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000087,2023-02-18T07:19:54.200000Z,36.56,36.33,9.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000076,2023-02-18T06:37:34.900000Z,37.69,37.43,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000075,2023-02-18T06:29:50.600000Z,38.06,36.58,6.0,4.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000069,2023-02-18T06:03:08.400000Z,37.25,37.0,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000067,2023-02-18T05:55:48.200000Z,38.31,38.25,6.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000065,2023-02-18T05:44:33.100000Z,37.96,36.37,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000063,2023-02-18T05:40:42.400000Z,38.07,37.96,10.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000062,2023-02-18T05:39:32.500000Z,38.05,37.71,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000059,2023-02-18T05:26:04.800000Z,38.08,37.2,5.0,4.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000052,2023-02-18T04:38:42.300000Z,37.94,36.29,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000050,2023-02-18T04:35:56.300000Z,36.76,36.56,10.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000047,2023-02-18T04:25:20.500000Z,37.27,36.83,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000048,2023-02-18T04:20:50.400000Z,37.99,36.14,2.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000045,2023-02-18T04:02:24.600000Z,37.53,37.25,10.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000043,2023-02-18T03:50:03.700000Z,37.79,36.48,10.0,3.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000039,2023-02-18T03:27:11.700000Z,38.09,37.22,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000036,2023-02-18T03:16:29.800000Z,38.0,36.6,9.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000037,2023-02-18T03:12:21.100000Z,38.08,36.51,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000033,2023-02-18T02:55:42.400000Z,38.47,37.24,6.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000031,2023-02-18T02:51:36.200000Z,37.87,36.68,6.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000030,2023-02-18T02:28:50.800000Z,38.09,38.42,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000027,2023-02-18T02:19:50.700000Z,38.17,36.77,11.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000021,2023-02-18T02:16:38.900000Z,37.94,36.34,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000018,2023-02-18T01:45:41.800000Z,37.92,36.6,14.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000015,2023-02-18T01:36:57.300000Z,37.95,36.68,5.0,3.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000016,2023-02-18T01:34:02.900000Z,38.23,38.03,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000009,2023-02-18T00:50:45.500000Z,37.96,36.66,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000005,2023-02-18T00:12:33.700000Z,38.08,36.48,8.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000004,2023-02-18T00:02:47.100000Z,37.54,37.24,11.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000292,2023-02-17T23:46:57.600000Z,38.12,36.72,10.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000286,2023-02-17T23:34:34.200000Z,38.0,37.89,10.0,3.2,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000280,2023-02-17T22:48:37.200000Z,37.83,36.65,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000274,2023-02-17T22:28:51.000000Z,37.9,36.49,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000273,2023-02-17T22:19:36.400000Z,38.39,37.53,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000269,2023-02-17T22:10:49.200000Z,37.88,36.75,4.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000268,2023-02-17T22:08:07.800000Z,38.1,37.66,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000264,2023-02-17T21:52:29.800000Z,38.06,36.76,5.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230217_0000265,2023-02-17T21:47:37.400000Z,36.56,36.29,8.0,2.7,ml,,,EMSC_FDSN
