event_id,origin_time,latitude,longitude,depth_km,magnitude,region
smi:ISC/evid=622109614,2022-01-08T08:27:59.000000Z,39.169,40.278,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109616,2022-01-08T10:47:29.500000Z,37.8785,27.006,5.0,1.6,aegean
smi:ISC/evid=622109632,2022-01-08T21:46:37.000000Z,37.831,26.925,7.0,1.9,aegean
smi:ISC/evid=622109636,2022-01-09T00:04:33.000000Z,38.593,42.894,7.0,1.5,eastern_anatolia
smi:ISC/evid=622109637,2022-01-09T00:12:51.000000Z,39.811,41.848,7.1,1.5,eastern_anatolia
smi:ISC/evid=622109643,2022-01-09T06:18:53.300000Z,39.4238,28.0038,9.4,1.7,aegean
smi:ISC/evid=622109652,2022-01-09T10:48:48.100000Z,38.8648,26.4808,11.7,2.1,aegean
smi:ISC/evid=622109653,2022-01-09T11:37:00.500000Z,37.9382,27.161,5.4,2.2,aegean
smi:ISC/evid=622109654,2022-01-09T12:11:45.700000Z,39.3842,27.7372,7.8,2.2,aegean
smi:ISC/evid=622109655,2022-01-09T12:37:01.600000Z,38.9458,26.0302,6.2,2.2,aegean
smi:ISC/evid=635994403,2022-01-09T14:22:07.000000Z,39.509,43.941,7.5,1.5,eastern_anatolia
smi:ISC/evid=622109657,2022-01-09T15:30:21.300000Z,40.2037,31.8205,12.5,1.7,central_anatolia
smi:ISC/evid=622109658,2022-01-09T15:42:33.000000Z,38.761,27.494,14.4,2.6,aegean
smi:ISC/evid=635994404,2022-01-09T15:44:31.000000Z,38.939,43.463,7.1,1.5,eastern_anatolia
smi:ISC/evid=622109661,2022-01-09T17:23:19.000000Z,40.2848,31.0837,23.3,1.5,central_anatolia
smi:ISC/evid=622109662,2022-01-09T17:29:15.000000Z,38.4,39.223,7.0,1.7,eastern_anatolia
smi:ISC/evid=622109663,2022-01-09T18:04:06.100000Z,38.9625,26.1158,9.6,1.9,aegean
smi:ISC/evid=622109665,2022-01-09T19:10:46.100000Z,38.0602,26.1917,7.4,2.0,aegean
smi:ISC/evid=622109666,2022-01-09T19:10:59.000000Z,38.978,42.036,7.0,1.9,eastern_anatolia
smi:ISC/evid=622109667,2022-01-09T20:48:14.000000Z,40.813,27.728,32.3,1.9,marmara
smi:ISC/evid=622109677,2022-01-10T00:17:14.100000Z,38.9314,26.0536,13.7,2.4,aegean
smi:ISC/evid=622109680,2022-01-10T01:57:15.000000Z,39.213,39.21,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109700,2022-01-10T14:05:22.310000Z,37.8608,26.4741,13.521,2.07,aegean
smi:ISC/evid=622109701,2022-01-10T14:32:05.900000Z,39.0032,26.5322,9.4,2.4,aegean
smi:ISC/evid=622109702,2022-01-10T15:00:57.700000Z,39.1762,40.5673,5.0,3.3,eastern_anatolia
smi:ISC/evid=622109703,2022-01-10T15:21:22.200000Z,39.1677,40.5398,8.5,2.0,eastern_anatolia
smi:ISC/evid=622109704,2022-01-10T15:55:11.200000Z,37.5487,26.883,9.2,2.0,aegean
smi:ISC/evid=622109705,2022-01-10T16:05:17.700000Z,37.8743,27.085,4.9,1.9,aegean
smi:ISC/evid=622109707,2022-01-10T17:10:15.000000Z,39.841,40.212,6.9,2.1,eastern_anatolia
smi:ISC/evid=622109711,2022-01-10T20:25:46.000000Z,39.167,40.522,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109720,2022-01-11T02:53:45.400000Z,39.2857,33.2913,6.7,1.9,central_anatolia
smi:ISC/evid=622109725,2022-01-11T05:45:55.100000Z,38.4578,26.6582,11.6,1.6,aegean
smi:ISC/evid=622109726,2022-01-11T07:16:23.000000Z,40.039,27.689,12.0,1.9,marmara
smi:ISC/evid=622109729,2022-01-11T09:04:35.000000Z,38.864,41.372,7.0,1.6,eastern_anatolia
smi:ISC/evid=636013626,2022-01-11T10:23:03.000000Z,38.693,26.679,7.0,1.7,aegean
smi:ISC/evid=622109737,2022-01-11T12:50:11.000000Z,39.776,35.155,7.0,2.0,central_anatolia
smi:ISC/evid=622109740,2022-01-11T13:43:43.000000Z,38.812,31.468,7.0,1.8,central_anatolia
smi:ISC/evid=622109742,2022-01-11T14:15:26.600000Z,39.9117,33.3142,5.0,1.7,central_anatolia
smi:ISC/evid=622109753,2022-01-11T19:36:06.000000Z,39.198,39.2,7.0,1.5,eastern_anatolia
smi:ISC/evid=622109756,2022-01-11T20:24:45.000000Z,38.936,41.988,7.0,2.0,eastern_anatolia
smi:ISC/evid=621794583,2022-01-11T21:34:44.030000Z,38.7022,39.9519,10.446399999999999,3.39,eastern_anatolia
smi:ISC/evid=622109759,2022-01-11T21:38:04.400000Z,38.8427,39.9455,25.5,1.7,eastern_anatolia
smi:ISC/evid=622109760,2022-01-11T21:56:16.000000Z,38.737,39.958,5.7,1.8,eastern_anatolia
smi:ISC/evid=622109761,2022-01-11T21:57:50.000000Z,38.715,39.952,14.6,1.6,eastern_anatolia
smi:ISC/evid=622109762,2022-01-11T22:11:56.000000Z,39.701,39.774,10.8,2.0,eastern_anatolia
smi:ISC/evid=636013637,2022-01-11T22:38:41.000000Z,38.444,39.142,7.0,1.7,eastern_anatolia
smi:ISC/evid=622109792,2022-01-12T04:18:45.000000Z,38.601,39.582,7.0,1.7,eastern_anatolia
smi:ISC/evid=622109799,2022-01-12T04:55:59.000000Z,38.757,39.958,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109806,2022-01-12T08:54:28.000000Z,38.712,39.933,13.5,2.1,eastern_anatolia
smi:ISC/evid=622109807,2022-01-12T09:38:46.000000Z,39.456,33.49,7.0,1.8,central_anatolia
smi:ISC/evid=622109808,2022-01-12T10:05:22.000000Z,38.786,43.41,6.9,2.0,eastern_anatolia
smi:ISC/evid=622109812,2022-01-12T13:05:59.600000Z,39.2755,40.713,12.5,1.7,eastern_anatolia
smi:ISC/evid=622109818,2022-01-12T14:02:10.000000Z,39.993,33.535,7.5,1.6,central_anatolia
smi:ISC/evid=622109819,2022-01-12T14:07:02.000000Z,38.68,43.146,7.0,2.0,eastern_anatolia
smi:ISC/evid=622109821,2022-01-12T14:48:25.200000Z,40.46,35.2603,2.0,2.2,central_anatolia
smi:ISC/evid=622109832,2022-01-12T19:40:22.000000Z,38.197,27.268,7.1,1.8,aegean
smi:ISC/evid=622109837,2022-01-12T20:56:30.000000Z,39.373,40.663,7.0,2.0,eastern_anatolia
smi:ISC/evid=622109838,2022-01-12T21:24:57.200000Z,39.1635,41.2838,11.5,1.6,eastern_anatolia
smi:ISC/evid=622109839,2022-01-12T22:06:35.900000Z,39.0902,39.961,5.0,2.2,eastern_anatolia
smi:ISC/evid=621687129,2022-01-12T22:54:23.950000Z,37.6711,26.0109,7.992,3.46,aegean
smi:ISC/evid=622109840,2022-01-12T23:33:00.600000Z,37.6787,26.0325,3.5,2.2,aegean
smi:ISC/evid=622109841,2022-01-12T23:37:28.900000Z,37.7097,26.0056,17.2,2.8,aegean
smi:ISC/evid=622109842,2022-01-12T23:45:34.000000Z,39.339,40.807,7.0,2.0,eastern_anatolia
smi:ISC/evid=622109843,2022-01-12T23:46:28.500000Z,37.6712,26.0678,30.8,2.6,aegean
smi:ISC/evid=622109844,2022-01-13T00:00:51.000000Z,38.643,43.153,7.0,3.4,eastern_anatolia
smi:ISC/evid=622109845,2022-01-13T00:10:55.000000Z,38.64,43.166,3.2,2.4,eastern_anatolia
smi:ISC/evid=622109846,2022-01-13T02:13:16.100000Z,38.4815,39.1658,12.8,1.8,eastern_anatolia
smi:ISC/evid=622109847,2022-01-13T02:59:50.600000Z,37.6933,26.0127,5.0,2.3,aegean
smi:ISC/evid=622109848,2022-01-13T03:12:53.300000Z,37.668,26.0037,5.0,2.1,aegean
smi:ISC/evid=622109849,2022-01-13T03:18:18.200000Z,40.0143,27.8865,8.2,1.8,marmara
smi:ISC/evid=622109851,2022-01-13T04:47:53.100000Z,37.7078,26.0092,15.1,3.3,aegean
smi:ISC/evid=622109854,2022-01-13T05:34:05.200000Z,37.6748,26.054,5.5,2.2,aegean
smi:ISC/evid=622109867,2022-01-13T11:10:38.700000Z,37.9158,26.9835,4.5,2.1,aegean
smi:ISC/evid=622109874,2022-01-13T17:20:46.900000Z,39.9645,39.7137,14.6,1.9,eastern_anatolia
smi:ISC/evid=622109882,2022-01-13T20:30:49.900000Z,40.6722,29.159,15.7,1.5,marmara
