lat_center,lon_center,zone,n_events,n_above_Mc,Mc,b_value,a_value,lambda_M5,lambda_M6,lambda_M7,P50yr_M5,P50yr_M6,P50yr_M7,omori_factor,source
36.25,26.25,CA,59,42,3.15,1.038,3.3618,0.014853,0.001361,0.000125,0.5241,0.0658,0.0062,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,26.75,CA,200,144,3.15,1.2709,4.6306,0.018882,0.001012,5.4e-05,0.611,0.0493,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,27.25,CA,1201,957,3.15,1.0286,4.6899,0.352254,0.03298,0.003088,1.0,0.8078,0.1431,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,27.75,CA,236,164,3.15,0.9178,3.5748,0.096776,0.011694,0.001413,0.9921,0.4427,0.0682,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,28.25,CA,136,104,3.15,0.8564,3.1835,0.079716,0.011095,0.001544,0.9814,0.4258,0.0743,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,28.75,CA,325,215,3.15,0.9423,3.7695,0.114298,0.013054,0.001491,0.9967,0.4794,0.0718,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,29.25,CA,161,95,3.15,1.1966,4.2159,0.017095,0.001087,6.9e-05,0.5746,0.0529,0.0035,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,29.75,CA,101,62,3.15,1.038,3.5309,0.021925,0.002009,0.000184,0.6659,0.0956,0.0092,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,30.25,CA,57,40,3.15,1.038,3.3406,0.014145,0.001296,0.000119,0.507,0.0627,0.0059,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,30.75,CA,91,68,3.15,1.1023,3.7736,0.018286,0.001445,0.000114,0.5992,0.0697,0.0057,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,31.25,CA,133,103,3.15,0.874,3.2348,0.073247,0.00979,0.001309,0.9743,0.3871,0.0633,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,31.75,CA,65,40,3.15,1.038,3.3406,0.014145,0.001296,0.000119,0.507,0.0627,0.0059,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,32.25,CA,33,13,3.15,1.038,2.8525,0.004597,0.000421,3.9e-05,0.2054,0.0208,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,34.25,CA,16,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,34.75,CA,13,8,3.15,1.038,2.6416,0.002829,0.000259,2.4e-05,0.1319,0.0129,0.0012,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,35.25,CA,10,7,3.15,1.038,2.5837,0.000248,2.3e-05,2e-06,0.0123,0.0011,0.0001,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,35.75,CA,63,38,3.15,1.038,3.3183,0.001344,0.000123,1.1e-05,0.065,0.0061,0.0006,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,36.25,EAF,66,36,3.15,0.9963,3.1635,0.001521,0.000153,1.5e-05,0.0732,0.0076,0.0008,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,36.75,EAF,29,5,3.15,0.9963,2.3062,0.000211,2.1e-05,2e-06,0.0105,0.0011,0.0001,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,40.25,EAF,14,8,3.15,0.9963,2.5103,0.003379,0.000341,3.4e-05,0.1554,0.0169,0.0017,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,40.75,EAF,47,34,3.15,0.9963,3.1387,0.014361,0.001448,0.000146,0.5123,0.0699,0.0073,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,41.25,EAF,9,7,3.15,0.9963,2.4523,0.002957,0.000298,3e-05,0.1374,0.0148,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,41.75,EAF,8,5,3.15,0.9963,2.3062,0.002112,0.000213,2.1e-05,0.1002,0.0106,0.0011,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,26.25,CA,135,90,3.15,1.1194,3.9492,0.022501,0.001709,0.00013,0.6754,0.0819,0.0065,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,26.75,CA,311,219,3.15,0.7709,3.2376,0.24162,0.040948,0.00694,1.0,0.8709,0.2932,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,27.25,CA,505,380,3.15,1.0667,4.4087,0.118916,0.010199,0.000875,0.9974,0.3995,0.0428,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,27.75,CA,965,564,3.15,0.8798,3.9915,0.391293,0.051606,0.006806,1.0,0.9242,0.2884,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,28.25,CA,317,186,3.15,0.8953,3.5586,0.120798,0.015373,0.001956,0.9976,0.5364,0.0932,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,28.75,CA,291,157,3.15,1.2494,4.6004,0.022561,0.00127,7.2e-05,0.6763,0.0615,0.0036,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,29.25,CA,682,304,3.15,1.0664,4.3109,0.095255,0.008175,0.000702,0.9915,0.3355,0.0345,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,29.75,CA,94,57,3.15,1.038,3.4944,0.020157,0.001847,0.000169,0.635,0.0882,0.0084,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,30.25,CA,74,48,3.15,1.038,3.4198,0.016974,0.001555,0.000142,0.572,0.0748,0.0071,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,30.75,CA,80,56,3.15,1.038,3.4867,0.019803,0.001814,0.000166,0.6285,0.0867,0.0083,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,31.25,CA,99,66,3.15,1.038,3.5581,0.02334,0.002138,0.000196,0.6887,0.1014,0.0097,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,31.75,CA,37,25,3.15,1.038,3.1365,0.008841,0.00081,7.4e-05,0.3573,0.0397,0.0037,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,32.25,CA,21,14,3.15,1.038,2.8847,0.004951,0.000454,4.2e-05,0.2193,0.0224,0.0021,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,33.75,CA,36,13,3.15,1.038,2.8525,0.004597,0.000421,3.9e-05,0.2054,0.0208,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,34.25,CA,39,20,3.15,1.038,3.0396,0.007073,0.000648,5.9e-05,0.2979,0.0319,0.003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,34.75,CA,53,31,3.15,1.038,3.2299,0.010963,0.001004,9.2e-05,0.422,0.049,0.0046,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,35.25,CA,48,24,3.15,1.038,3.1188,0.000849,7.8e-05,7e-06,0.0415,0.0039,0.0004,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,35.75,CA,94,53,3.15,1.038,3.4628,0.001874,0.000172,1.6e-05,0.0895,0.0085,0.0008,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,36.25,EAF,52,20,3.15,0.9963,2.9082,0.000845,8.5e-05,9e-06,0.0414,0.0043,0.0004,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,36.75,EAF,46,19,3.15,0.9963,2.886,0.000803,8.1e-05,8e-06,0.0393,0.004,0.0004,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,37.25,EAF,22,8,3.15,0.9963,2.5103,0.000338,3.4e-05,3e-06,0.0168,0.0017,0.0002,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,40.25,EAF,9,6,3.15,0.9963,2.3853,0.002534,0.000256,2.6e-05,0.119,0.0127,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,40.75,EAF,14,10,3.15,0.9963,2.6072,0.004224,0.000426,4.3e-05,0.1904,0.0211,0.0021,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,42.25,EAF,17,10,3.15,0.9963,2.6072,0.004224,0.000426,4.3e-05,0.1904,0.0211,0.0021,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,42.75,EAF,18,12,3.15,0.9963,2.6864,0.005069,0.000511,5.2e-05,0.2239,0.0252,0.0026,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,43.25,EAF,19,17,3.15,0.9963,2.8376,0.00718,0.000724,7.3e-05,0.3016,0.0356,0.0036,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.75,43.75,EAF,18,11,3.15,0.9963,2.6486,0.004646,0.000469,4.7e-05,0.2073,0.0232,0.0024,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,26.25,CA,27,18,3.15,1.038,2.9938,0.006365,0.000583,5.3e-05,0.2726,0.0287,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,26.75,CA,156,101,3.15,1.3037,4.5798,0.011517,0.000572,2.8e-05,0.4378,0.0282,0.0014,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,27.25,CA,94,58,3.15,1.5113,4.9929,0.002731,8.4e-05,3e-06,0.1277,0.0042,0.0001,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,27.75,CA,421,201,3.15,1.2838,4.816,0.024947,0.001298,6.8e-05,0.7127,0.0628,0.0034,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,28.25,CA,454,194,3.15,1.3836,5.115,0.01574,0.000651,2.7e-05,0.5448,0.032,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,28.75,CA,407,193,3.15,0.8907,3.5601,0.127825,0.016441,0.002115,0.9983,0.5605,0.1003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,29.25,CA,496,255,3.15,1.0265,4.1089,0.094704,0.00891,0.000838,0.9912,0.3595,0.041,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,29.75,CA,161,87,3.15,1.0911,3.8453,0.024538,0.001989,0.000161,0.7068,0.0947,0.008,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,30.25,CA,152,81,3.15,1.2053,4.174,0.014045,0.000875,5.5e-05,0.5045,0.0428,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,30.75,CA,143,77,3.15,0.956,3.3667,0.038614,0.004273,0.000473,0.855,0.1924,0.0234,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,31.25,CA,79,51,3.15,1.038,3.4461,0.018035,0.001652,0.000151,0.5941,0.0793,0.0075,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,31.75,CA,42,18,3.15,1.038,2.9938,0.006365,0.000583,5.3e-05,0.2726,0.0287,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,32.25,CA,16,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,33.25,CA,13,8,3.15,1.038,2.6416,0.002829,0.000259,2.4e-05,0.1319,0.0129,0.0012,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,34.25,CA,25,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,34.75,CA,57,29,3.15,1.038,3.201,0.010255,0.00094,8.6e-05,0.4012,0.0459,0.0043,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,35.25,CA,51,30,3.15,1.038,3.2157,0.001061,9.7e-05,9e-06,0.0517,0.0048,0.0004,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,35.75,CA,203,86,3.15,0.956,3.4148,0.004313,0.000477,5.3e-05,0.194,0.0236,0.0026,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,36.25,EAF,293,172,3.15,0.7471,3.0577,0.021001,0.00376,0.000673,0.6501,0.1714,0.0331,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,36.75,EAF,78,38,3.15,0.9963,3.187,0.001605,0.000162,1.6e-05,0.0771,0.0081,0.0008,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,37.25,EAF,240,75,3.15,0.9963,3.4823,0.003168,0.000319,3.2e-05,0.1465,0.0158,0.0016,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,37.75,EAF,31,12,3.15,0.9963,2.6864,0.000507,5.1e-05,5e-06,0.025,0.0026,0.0003,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,38.75,EAF,139,49,3.15,0.9963,3.2974,0.00207,0.000209,2.1e-05,0.0983,0.0104,0.0011,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,39.25,EAF,36,7,3.15,0.9963,2.4523,0.000296,3e-05,3e-06,0.0147,0.0015,0.0002,10.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,42.25,EAF,34,12,3.15,0.9963,2.6864,0.005069,0.000511,5.2e-05,0.2239,0.0252,0.0026,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,42.75,EAF,44,23,3.15,0.9963,2.9689,0.009715,0.00098,9.9e-05,0.3848,0.0478,0.0049,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.25,43.75,EAF,40,30,3.15,0.9963,3.0843,0.012671,0.001278,0.000129,0.4693,0.0619,0.0064,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.75,26.25,CA,142,86,3.15,0.9491,3.393,0.044414,0.004994,0.000561,0.8915,0.221,0.0277,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.75,26.75,CA,633,400,3.15,1.0019,4.2269,0.164968,0.016425,0.001635,0.9997,0.5601,0.0785,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
37.75,27.25,CA,501,259,3.15,1.2641,4.8641,0.03496,0.001903,0.000104,0.8259,0.0908,0.0052,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
