filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KMRS_642898721.npz,KO.KMRS,642898721,1.8,M1.5-2.0,2023-02-11T19:33:39.600000Z,2023-02-11T19:34:09.600000Z,ok
small_KO.KOZT_642691098.npz,KO.KOZT,642691098,2.0,M1.5-2.0,2023-02-13T22:21:59.000000Z,2023-02-13T22:22:29.000000Z,ok
small_KO.KMRS_642691098.npz,KO.KMRS,642691098,2.0,M1.5-2.0,2023-02-13T22:21:59.000000Z,2023-02-13T22:22:29.000000Z,ok
small_KO.KOZT_642696162.npz,KO.KOZT,642696162,2.0,M1.5-2.0,2023-02-28T22:05:31.300000Z,2023-02-28T22:06:01.300000Z,ok
small_KO.KMRS_642696162.npz,KO.KMRS,642696162,2.0,M1.5-2.0,2023-02-28T22:05:31.300000Z,2023-02-28T22:06:01.300000Z,ok
small_KO.KOZT_626667979.npz,KO.KOZT,626667979,1.9,M1.5-2.0,2023-02-17T12:11:34.400000Z,2023-02-17T12:12:04.400000Z,ok
small_KO.KMRS_626667979.npz,KO.KMRS,626667979,1.9,M1.5-2.0,2023-02-17T12:11:34.400000Z,2023-02-17T12:12:04.400000Z,ok
small_KO.KOZT_642882652.npz,KO.KOZT,642882652,2.0,M1.5-2.0,2023-03-01T22:51:06.000000Z,2023-03-01T22:51:36.000000Z,ok
small_KO.KMRS_642882652.npz,KO.KMRS,642882652,2.0,M1.5-2.0,2023-03-01T22:51:06.000000Z,2023-03-01T22:51:36.000000Z,ok
small_KO.KOZT_642869998.npz,KO.KOZT,642869998,1.8,M1.5-2.0,2023-03-01T04:22:59.000000Z,2023-03-01T04:23:29.000000Z,ok
small_KO.KMRS_642869998.npz,KO.KMRS,642869998,1.8,M1.5-2.0,2023-03-01T04:22:59.000000Z,2023-03-01T04:23:29.000000Z,ok
small_KO.KOZT_636310263.npz,KO.KOZT,636310263,2.0,M1.5-2.0,2023-05-04T12:35:11.900000Z,2023-05-04T12:35:41.900000Z,ok
small_KO.KMRS_636310263.npz,KO.KMRS,636310263,2.0,M1.5-2.0,2023-05-04T12:35:11.900000Z,2023-05-04T12:35:41.900000Z,ok
small_KO.KOZT_642691676.npz,KO.KOZT,642691676,1.7,M1.5-2.0,2023-02-15T16:26:13.000000Z,2023-02-15T16:26:43.000000Z,ok
small_KO.KMRS_642691676.npz,KO.KMRS,642691676,1.7,M1.5-2.0,2023-02-15T16:26:13.000000Z,2023-02-15T16:26:43.000000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626671258.npz,KO.KOZT,626671258,1.8,M1.5-2.0,2023-02-23T09:23:04.800000Z,2023-02-23T09:23:34.800000Z,ok
small_KO.KMRS_626671258.npz,KO.KMRS,626671258,1.8,M1.5-2.0,2023-02-23T09:23:04.800000Z,2023-02-23T09:23:34.800000Z,ok
small_KO.KOZT_626754710.npz,KO.KOZT,626754710,1.7,M1.5-2.0,2023-03-04T20:31:18.000000Z,2023-03-04T20:31:48.000000Z,ok
