event_id,station,magnitude,file,status
quakeml:eu.emsc/event/20230308_0000258,KO.SVRC,3.8,ev_KO_SVRC_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.GAZ,2.4,ev_KO_GAZ_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.KMRS,2.4,ev_KO_KMRS_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.KOZT,2.4,ev_KO_KOZT_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.CEYT,2.4,ev_KO_CEYT_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.TAHT,2.4,ev_KO_TAHT_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.SARI,2.4,ev_KO_SARI_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.URFA,2.4,ev_KO_URFA_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.DARE,2.4,ev_KO_DARE_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.BNN,2.4,ev_KO_BNN_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.KARA,2.4,ev_KO_KARA_.emsc_event_20230308_0000257.mseed,fail
quakeml:eu.emsc/event/20230308_0000257,KO.MERS,2.4,ev_KO_MERS_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.GAZ,3.1,ev_KO_GAZ_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000257,KO.SVRC,2.4,ev_KO_SVRC_.emsc_event_20230308_0000257.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.KMRS,3.1,ev_KO_KMRS_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.KOZT,3.1,ev_KO_KOZT_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.TAHT,3.1,ev_KO_TAHT_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.SARI,3.1,ev_KO_SARI_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.URFA,3.1,ev_KO_URFA_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.DARE,3.1,ev_KO_DARE_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.CEYT,3.1,ev_KO_CEYT_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.BNN,3.1,ev_KO_BNN_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.MERS,3.1,ev_KO_MERS_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.KARA,3.1,ev_KO_KARA_.emsc_event_20230308_0000256.mseed,fail
quakeml:eu.emsc/event/20230308_0000254,KO.GAZ,2.2,ev_KO_GAZ_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000256,KO.SVRC,3.1,ev_KO_SVRC_.emsc_event_20230308_0000256.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.KOZT,2.2,ev_KO_KOZT_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.CEYT,2.2,ev_KO_CEYT_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.TAHT,2.2,ev_KO_TAHT_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.KMRS,2.2,ev_KO_KMRS_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.SARI,2.2,ev_KO_SARI_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.URFA,2.2,ev_KO_URFA_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.DARE,2.2,ev_KO_DARE_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.KARA,2.2,ev_KO_KARA_.emsc_event_20230308_0000254.mseed,fail
quakeml:eu.emsc/event/20230308_0000254,KO.MERS,2.2,ev_KO_MERS_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.BNN,2.2,ev_KO_BNN_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000254,KO.SVRC,2.2,ev_KO_SVRC_.emsc_event_20230308_0000254.mseed,ok
quakeml:eu.emsc/event/20230308_0000251,KO.GAZ,2.1,ev_KO_GAZ_.emsc_event_20230308_0000251.mseed,ok
